,comp_1,comp_2
160,CHEBI:9921,CHEBI:7728
161,CHEBI:9921,CHEBI:84001
162,CHEBI:17697,CHEBI:110320
163,CHEBI:17697,CHEBI:124254
164,CHEBI:17697,CHEBI:15825
165,CHEBI:17697,CHEBI:16070
166,CHEBI:17697,CHEBI:166
167,CHEBI:17697,CHEBI:16652
168,CHEBI:17697,CHEBI:166816
169,CHEBI:17697,CHEBI:39750
170,CHEBI:17697,CHEBI:7728
171,CHEBI:133127,CHEBI:100636
172,CHEBI:133127,CHEBI:114
173,CHEBI:133127,CHEBI:124254
174,CHEBI:133127,CHEBI:15580
175,CHEBI:133127,CHEBI:15825
176,CHEBI:133127,CHEBI:16286
177,CHEBI:133127,CHEBI:166
178,CHEBI:133127,CHEBI:17020
179,CHEBI:133127,CHEBI:2220
180,CHEBI:133127,CHEBI:27460
181,CHEBI:133127,CHEBI:28142
182,CHEBI:133127,CHEBI:28708
183,CHEBI:133127,CHEBI:30718
184,CHEBI:133127,CHEBI:3188
185,CHEBI:133127,CHEBI:39750
186,CHEBI:133127,CHEBI:616
187,CHEBI:133127,CHEBI:7728
188,CHEBI:2422,CHEBI:100636
189,CHEBI:2422,CHEBI:124254
190,CHEBI:2422,CHEBI:129650
191,CHEBI:2422,CHEBI:1378
192,CHEBI:2422,CHEBI:140622
193,CHEBI:2422,CHEBI:15492
194,CHEBI:2422,CHEBI:15657
195,CHEBI:2422,CHEBI:15825
196,CHEBI:2422,CHEBI:16352
197,CHEBI:2422,CHEBI:166
198,CHEBI:2422,CHEBI:17020
199,CHEBI:2422,CHEBI:27825
200,CHEBI:2422,CHEBI:28071
201,CHEBI:2422,CHEBI:28234
202,CHEBI:2422,CHEBI:28359
203,CHEBI:2422,CHEBI:28502
204,CHEBI:2422,CHEBI:30717
205,CHEBI:2422,CHEBI:30718
206,CHEBI:2422,CHEBI:37476
207,CHEBI:2422,CHEBI:39750
208,CHEBI:2422,CHEBI:48242
209,CHEBI:2422,CHEBI:616
210,CHEBI:2422,CHEBI:7728
211,CHEBI:47849,CHEBI:100636
212,CHEBI:47849,CHEBI:110
213,CHEBI:47849,CHEBI:124254
214,CHEBI:47849,CHEBI:15825
215,CHEBI:47849,CHEBI:16358
216,CHEBI:47849,CHEBI:166
217,CHEBI:47849,CHEBI:17020
218,CHEBI:47849,CHEBI:30718
219,CHEBI:47849,CHEBI:36244
220,CHEBI:47849,CHEBI:39750
221,CHEBI:47849,CHEBI:616
222,CHEBI:47849,CHEBI:7728
223,CHEBI:49801,CHEBI:100636
224,CHEBI:49801,CHEBI:124254
225,CHEBI:49801,CHEBI:15492
226,CHEBI:49801,CHEBI:15825
227,CHEBI:49801,CHEBI:166
228,CHEBI:49801,CHEBI:17020
229,CHEBI:49801,CHEBI:27825
230,CHEBI:49801,CHEBI:282
231,CHEBI:49801,CHEBI:28359
232,CHEBI:49801,CHEBI:28502
233,CHEBI:49801,CHEBI:28656
234,CHEBI:49801,CHEBI:30718
235,CHEBI:49801,CHEBI:37476
236,CHEBI:49801,CHEBI:39750
237,CHEBI:49801,CHEBI:48242
238,CHEBI:49801,CHEBI:53209
239,CHEBI:49801,CHEBI:616
240,CHEBI:49801,CHEBI:7728
241,CHEBI:51153,CHEBI:100636
242,CHEBI:51153,CHEBI:124254
243,CHEBI:51153,CHEBI:15825
244,CHEBI:51153,CHEBI:16286
245,CHEBI:51153,CHEBI:166
246,CHEBI:51153,CHEBI:16632
247,CHEBI:51153,CHEBI:16825
248,CHEBI:51153,CHEBI:18400
249,CHEBI:51153,CHEBI:212
250,CHEBI:51153,CHEBI:2220
251,CHEBI:51153,CHEBI:27808
252,CHEBI:51153,CHEBI:27825
253,CHEBI:51153,CHEBI:28142
254,CHEBI:51153,CHEBI:29055
255,CHEBI:51153,CHEBI:34809
256,CHEBI:51153,CHEBI:34810
257,CHEBI:51153,CHEBI:37397
258,CHEBI:51153,CHEBI:37476
259,CHEBI:51153,CHEBI:39750
260,CHEBI:51153,CHEBI:48242
261,CHEBI:51153,CHEBI:48510
262,CHEBI:51153,CHEBI:50629
263,CHEBI:51153,CHEBI:52618
264,CHEBI:51153,CHEBI:6478
265,CHEBI:51153,CHEBI:69014
266,CHEBI:51153,CHEBI:7728
267,CHEBI:51625,CHEBI:100636
268,CHEBI:51625,CHEBI:10582
269,CHEBI:51625,CHEBI:124254
270,CHEBI:51625,CHEBI:1394
271,CHEBI:51625,CHEBI:15398
272,CHEBI:51625,CHEBI:15492
273,CHEBI:51625,CHEBI:15825
274,CHEBI:51625,CHEBI:16080
275,CHEBI:51625,CHEBI:16286
276,CHEBI:51625,CHEBI:16358
277,CHEBI:51625,CHEBI:166
278,CHEBI:51625,CHEBI:16632
279,CHEBI:51625,CHEBI:166358
280,CHEBI:51625,CHEBI:16725
281,CHEBI:51625,CHEBI:16825
282,CHEBI:51625,CHEBI:17020
283,CHEBI:51625,CHEBI:17038
284,CHEBI:51625,CHEBI:17784
285,CHEBI:51625,CHEBI:17886
286,CHEBI:51625,CHEBI:180399
287,CHEBI:51625,CHEBI:18400
288,CHEBI:51625,CHEBI:212
289,CHEBI:51625,CHEBI:2220
290,CHEBI:51625,CHEBI:27404
291,CHEBI:51625,CHEBI:27446
292,CHEBI:51625,CHEBI:27808
293,CHEBI:51625,CHEBI:27825
294,CHEBI:51625,CHEBI:28142
295,CHEBI:51625,CHEBI:282
296,CHEBI:51625,CHEBI:28495
297,CHEBI:51625,CHEBI:28656
298,CHEBI:51625,CHEBI:29055
299,CHEBI:51625,CHEBI:29648
300,CHEBI:51625,CHEBI:30718
301,CHEBI:51625,CHEBI:34809
302,CHEBI:51625,CHEBI:34810
303,CHEBI:51625,CHEBI:36244
304,CHEBI:51625,CHEBI:36968
305,CHEBI:51625,CHEBI:37476
306,CHEBI:51625,CHEBI:39750
307,CHEBI:51625,CHEBI:48242
308,CHEBI:51625,CHEBI:48510
309,CHEBI:51625,CHEBI:50629
310,CHEBI:51625,CHEBI:52618
311,CHEBI:51625,CHEBI:53209
312,CHEBI:51625,CHEBI:616
313,CHEBI:51625,CHEBI:6476
314,CHEBI:51625,CHEBI:69014
315,CHEBI:51625,CHEBI:7062
316,CHEBI:51625,CHEBI:7642
317,CHEBI:51625,CHEBI:7728
318,CHEBI:51625,CHEBI:99265
319,CHEBI:17123,CHEBI:100636
320,CHEBI:17123,CHEBI:124254
321,CHEBI:17123,CHEBI:130121
322,CHEBI:17123,CHEBI:15825
323,CHEBI:17123,CHEBI:160
324,CHEBI:17123,CHEBI:16108
325,CHEBI:17123,CHEBI:16358
326,CHEBI:17123,CHEBI:166
327,CHEBI:17123,CHEBI:17020
328,CHEBI:17123,CHEBI:27825
329,CHEBI:17123,CHEBI:30718
330,CHEBI:17123,CHEBI:39750
331,CHEBI:17123,CHEBI:616
332,CHEBI:17123,CHEBI:6427
333,CHEBI:17123,CHEBI:7728
334,CHEBI:17123,CHEBI:78496
335,CHEBI:59511,CHEBI:100636
336,CHEBI:59511,CHEBI:119602
337,CHEBI:59511,CHEBI:124254
338,CHEBI:59511,CHEBI:15555
339,CHEBI:59511,CHEBI:15825
340,CHEBI:59511,CHEBI:16358
341,CHEBI:59511,CHEBI:166
342,CHEBI:59511,CHEBI:17020
343,CHEBI:59511,CHEBI:17344
344,CHEBI:59511,CHEBI:17886
345,CHEBI:59511,CHEBI:2212
346,CHEBI:59511,CHEBI:2724
347,CHEBI:59511,CHEBI:28996
348,CHEBI:59511,CHEBI:30718
349,CHEBI:59511,CHEBI:36244
350,CHEBI:59511,CHEBI:39750
351,CHEBI:59511,CHEBI:616
352,CHEBI:59511,CHEBI:7728
353,CHEBI:59511,CHEBI:78734
354,CHEBI:75947,CHEBI:124254
355,CHEBI:75947,CHEBI:15825
356,CHEBI:75947,CHEBI:16108
357,CHEBI:75947,CHEBI:27825
358,CHEBI:75947,CHEBI:29001
359,CHEBI:73823,CHEBI:100636
360,CHEBI:73823,CHEBI:124254
361,CHEBI:73823,CHEBI:15448
362,CHEBI:73823,CHEBI:15580
363,CHEBI:73823,CHEBI:15825
364,CHEBI:73823,CHEBI:16286
365,CHEBI:73823,CHEBI:166
366,CHEBI:73823,CHEBI:16752
367,CHEBI:73823,CHEBI:17020
368,CHEBI:73823,CHEBI:20
369,CHEBI:73823,CHEBI:212
370,CHEBI:73823,CHEBI:2220
371,CHEBI:73823,CHEBI:27460
372,CHEBI:73823,CHEBI:27808
373,CHEBI:73823,CHEBI:27825
374,CHEBI:73823,CHEBI:28142
375,CHEBI:73823,CHEBI:30718
376,CHEBI:73823,CHEBI:31254
377,CHEBI:73823,CHEBI:3188
378,CHEBI:73823,CHEBI:34809
379,CHEBI:73823,CHEBI:34810
380,CHEBI:73823,CHEBI:37476
381,CHEBI:73823,CHEBI:39750
382,CHEBI:73823,CHEBI:48242
383,CHEBI:73823,CHEBI:48510
384,CHEBI:73823,CHEBI:616
385,CHEBI:73823,CHEBI:7728
386,CHEBI:72573,CHEBI:100636
387,CHEBI:72573,CHEBI:102152
388,CHEBI:72573,CHEBI:1110
389,CHEBI:72573,CHEBI:124254
390,CHEBI:72573,CHEBI:15618
391,CHEBI:72573,CHEBI:15825
392,CHEBI:72573,CHEBI:166
393,CHEBI:72573,CHEBI:17020
394,CHEBI:72573,CHEBI:18400
395,CHEBI:72573,CHEBI:27825
396,CHEBI:72573,CHEBI:27967
397,CHEBI:72573,CHEBI:28770
398,CHEBI:72573,CHEBI:30718
399,CHEBI:72573,CHEBI:32796
400,CHEBI:72573,CHEBI:34809
401,CHEBI:72573,CHEBI:34810
402,CHEBI:72573,CHEBI:37476
403,CHEBI:72573,CHEBI:39750
404,CHEBI:72573,CHEBI:48242
405,CHEBI:72573,CHEBI:616
406,CHEBI:72573,CHEBI:69014
407,CHEBI:72573,CHEBI:7728
408,CHEBI:80319,CHEBI:100636
409,CHEBI:80319,CHEBI:110
410,CHEBI:80319,CHEBI:124254
411,CHEBI:80319,CHEBI:15825
412,CHEBI:80319,CHEBI:16358
413,CHEBI:80319,CHEBI:166
414,CHEBI:80319,CHEBI:17020
415,CHEBI:80319,CHEBI:30718
416,CHEBI:80319,CHEBI:36244
417,CHEBI:80319,CHEBI:39750
418,CHEBI:80319,CHEBI:616
419,CHEBI:80319,CHEBI:7728
420,CHEBI:24329,CHEBI:100636
421,CHEBI:24329,CHEBI:124254
422,CHEBI:24329,CHEBI:130121
423,CHEBI:24329,CHEBI:15825
424,CHEBI:24329,CHEBI:160
425,CHEBI:24329,CHEBI:16108
426,CHEBI:24329,CHEBI:16358
427,CHEBI:24329,CHEBI:166
428,CHEBI:24329,CHEBI:17020
429,CHEBI:24329,CHEBI:27825
430,CHEBI:24329,CHEBI:30718
431,CHEBI:24329,CHEBI:39750
432,CHEBI:24329,CHEBI:616
433,CHEBI:24329,CHEBI:6427
434,CHEBI:24329,CHEBI:7728
435,CHEBI:24329,CHEBI:78496
436,CHEBI:38131,CHEBI:100636
437,CHEBI:38131,CHEBI:1110
438,CHEBI:38131,CHEBI:124254
439,CHEBI:38131,CHEBI:140622
440,CHEBI:38131,CHEBI:15492
441,CHEBI:38131,CHEBI:15825
442,CHEBI:38131,CHEBI:15885
443,CHEBI:38131,CHEBI:166
444,CHEBI:38131,CHEBI:17020
445,CHEBI:38131,CHEBI:17784
446,CHEBI:38131,CHEBI:27633
447,CHEBI:38131,CHEBI:27808
448,CHEBI:38131,CHEBI:27825
449,CHEBI:38131,CHEBI:30717
450,CHEBI:38131,CHEBI:30718
451,CHEBI:38131,CHEBI:3190
452,CHEBI:38131,CHEBI:34809
453,CHEBI:38131,CHEBI:34810
454,CHEBI:38131,CHEBI:37476
455,CHEBI:38131,CHEBI:39750
456,CHEBI:38131,CHEBI:48242
457,CHEBI:38131,CHEBI:48510
458,CHEBI:38131,CHEBI:598
459,CHEBI:38131,CHEBI:616
460,CHEBI:38131,CHEBI:7728
461,CHEBI:78591,CHEBI:100636
462,CHEBI:78591,CHEBI:124254
463,CHEBI:78591,CHEBI:15825
464,CHEBI:78591,CHEBI:166
465,CHEBI:78591,CHEBI:17020
466,CHEBI:78591,CHEBI:17344
467,CHEBI:78591,CHEBI:27651
468,CHEBI:78591,CHEBI:27743
469,CHEBI:78591,CHEBI:27825
470,CHEBI:78591,CHEBI:28138
471,CHEBI:78591,CHEBI:28347
472,CHEBI:78591,CHEBI:28359
473,CHEBI:78591,CHEBI:28502
474,CHEBI:78591,CHEBI:30718
475,CHEBI:78591,CHEBI:37476
476,CHEBI:78591,CHEBI:39750
477,CHEBI:78591,CHEBI:48242
478,CHEBI:78591,CHEBI:5822
479,CHEBI:78591,CHEBI:616
480,CHEBI:78591,CHEBI:75308
481,CHEBI:78591,CHEBI:7728
482,CHEBI:135605,CHEBI:100636
483,CHEBI:135605,CHEBI:124254
484,CHEBI:135605,CHEBI:15696
485,CHEBI:135605,CHEBI:15825
486,CHEBI:135605,CHEBI:16286
487,CHEBI:135605,CHEBI:166
488,CHEBI:135605,CHEBI:16850
489,CHEBI:135605,CHEBI:18400
490,CHEBI:135605,CHEBI:2030
491,CHEBI:135605,CHEBI:212
492,CHEBI:135605,CHEBI:2220
493,CHEBI:135605,CHEBI:27808
494,CHEBI:135605,CHEBI:27825
495,CHEBI:135605,CHEBI:28142
496,CHEBI:135605,CHEBI:34809
497,CHEBI:135605,CHEBI:34810
498,CHEBI:135605,CHEBI:37476
499,CHEBI:135605,CHEBI:39750
500,CHEBI:135605,CHEBI:48242
501,CHEBI:135605,CHEBI:48510
502,CHEBI:135605,CHEBI:52618
503,CHEBI:135605,CHEBI:69014
504,CHEBI:135605,CHEBI:7728
505,CHEBI:4995,CHEBI:100636
